,Name,Season,playerid,weightwRC,weightHR,weightPA,weightAB,weightR,weightH,weight2B,RBIsPredicted,linearSvrRBI,svrRBI,BayesRidgeRBI,HuberRegressorRBI,RidgeRBI,ARDRegressionRBI
54,Dioner Navarro,2019,3179,-1.226986726138901,-0.9112314052619253,-0.7816030359230632,-0.7445924307388864,-1.2088944858133412,-1.0190099441672058,-0.8377729377175488,29.652731678858988,28.83549515355758,26.63434233601641,29.654373435574,29.258145360863956,29.661306846088024,29.637064543229002
307,Ronald Torreyes,2019,11400,-0.8392557193221101,-1.2125678101097264,-0.768390484602524,-0.6629845107483031,-0.8433325403115034,-0.3246206900365929,-0.6307776139289913,32.6928022789091,28.689544173934557,28.19642685766294,32.40906173542332,32.51735494698862,30.178002242581364,32.492362831600914
130,Jake Smolinski,2019,5408,-1.015497086057015,-0.8107859369793249,-0.8806971708271075,-0.848457056181447,-1.127658497924044,-0.8753432019332859,-1.5622565709775,28.638795809037916,28.53341473031411,27.10715221513655,28.74511128745489,28.09365328632838,29.560589002761667,28.723203719837834
321,Elias Diaz,2019,11680,-0.9626246760365433,-0.7806522964945448,-1.31076571631066,-1.2728182401324801,-1.1073495009517194,-1.0190099441672056,-0.8791720024752603,29.91198540606601,28.503428235713656,25.916708635990993,29.86323892226391,29.885956490956705,29.472365610347094,29.870007394717273
438,Tony Kemp,2019,14894,-0.7335108992811671,-0.9112314052619253,-1.0392477866735785,-1.1081186197878483,-0.7620965524222062,-0.9232321160112591,-0.6307776139289913,30.218867455169583,28.311646545344786,27.14433226438333,30.07466014691172,30.474374937350113,28.96077743079087,30.12864338629769
301,Jake Marisnick,2019,11339,-1.0965681147550712,-0.3788704233641432,-1.3378514465177656,-1.3269762233989582,-0.6646133669550494,-1.3350767770818295,-1.1896649881580965,28.40704179500042,28.122915783866098,29.14369946416927,28.36940023724444,28.444957033943812,28.11282141130186,28.41023869990959
234,Jeremy Hazelbaker,2019,9399,-1.085993632750977,-0.308558595566323,-1.5082933585527216,-1.5161582197407648,-0.8433325403115034,-1.4021212567909922,-1.4587589090832214,29.927856874821423,28.083874766596775,29.885106290226734,29.790662671432855,29.940201573028048,28.73628682139548,29.860712047971703
370,Alen Hanson,2019,12926,-1.0683694960774863,-0.8308750306358449,-1.0907767368236816,-0.9901580808923688,-0.8027145463668547,-0.9423876816424483,-0.6721766786867027,26.348695806065976,27.767698010578485,26.13238698073971,26.485363323146807,26.254714468343696,27.57894016605572,26.444845164890403
261,Max Stassi,2019,10059,-1.015497086057015,-0.7103404686967245,-1.3365301913857115,-1.3603612815769242,-1.127658497924044,-1.3302878856740321,-0.8377729377175488,26.458341796839726,27.6823480807601,26.186851056153877,26.617660391993084,26.51214021790811,27.870366121075108,26.561848837052295
44,Brandon Guyer,2019,2636,-0.9414757120283549,-0.7505186560097646,-1.2823587309715005,-1.3403302466701446,-1.0789169051904657,-1.2967656458194508,-0.8584724700964045,26.794068726102264,27.519253777480426,25.938725129047462,26.907493920042263,26.90056905781706,27.802055343341166,26.871030266744256
